vote,group,value
Remain,Soft or Stay Home,239
Didn’t vote,Soft or Stay Home,47
Can’t remember,Soft or Stay Home,0
Leave,Soft or Stay Home,28
Remain,Die Hard Remainers,120
Didn’t vote,Die Hard Remainers,45
Can’t remember,Die Hard Remainers,4
Leave,Die Hard Remainers,19
Remain,Anything but No Deal,126
Didn’t vote,Anything but No Deal,34
Can’t remember,Anything but No Deal,2
Leave,Anything but No Deal,18
Remain,Literally no idea,53
Didn’t vote,Literally no idea,105
Can’t remember,Literally no idea,13
Leave,Literally no idea,92
Remain,Die Hard No Dealers,5
Didn’t vote,Die Hard No Dealers,19
Can’t remember,Die Hard No Dealers,5
Leave,Die Hard No Dealers,208
Remain,Any Brexit,13
Didn’t vote,Any Brexit,6
Can’t remember,Any Brexit,3
Leave,Any Brexit,60
Remain,May Way or the Highway,5
Didn’t vote,May Way or the Highway,6
Can’t remember,May Way or the Highway,1
Leave,May Way or the Highway,103
